Model,Train Acc,Test Acc,Overfitting Gap,Balanced Acc,F1,MCC,CV Mean,CV Std,Test AUC
Logistic Regression,0.5843105239720944,0.589195607005046,-0.004885083032951654,0.5891956070050459,0.49098933431408603,0.193366968967686,0.5853488202326892,0.0070052844245596935,0.6112277173865639
Decision Tree,0.6004898322695562,0.5936479667557139,0.00684186551384236,0.5936479667557139,0.5159123055162659,0.19777321787660387,0.5944015492408747,0.004848899160602611,0.6274558572340955
Random Forest,0.6827593884518331,0.6697833184921341,0.012976069959699021,0.6697833184921341,0.6635415091486466,0.33980060780739435,0.6611621372582237,0.005783880549845418,0.7402216585297776
Gradient Boost,0.6096927415763693,0.6047788661323835,0.0049138754439858046,0.6047788661323835,0.5532628753564838,0.2153637246371212,0.6046819772654961,0.004982659214975283,0.6486507988741306
XGBoost,0.5,0.5,0.0,0.5,0.6666666666666666,0.0,0.5,0.0,0.6451770155507045
MLP Classifier,0.6040151402701499,0.6010685663401603,0.0029465739299896487,0.6010685663401603,0.5508021390374331,0.20739801617316622,0.5882777229134213,0.007922463662510785,0.6405823230172683
