Model,Train Acc,Test Acc,Balanced Acc,F1-Score,MCC,CV Mean,AUC
Logistic Regression,0.5847558260353273,0.5902344909468685,0.5902344909468684,0.49292929292929294,0.19543564213881665,0.5860550047028524,0.611231065356694
Random Forest,0.6875834941368562,0.6755713861680024,0.6755713861680024,0.6688882156922145,0.35142923017936345,0.6690304192699902,0.7487483217198416
Gradient Boost,0.6780466082826184,0.6709706144256455,0.6709706144256455,0.6689562490667463,0.3419665530322173,0.6591226382714969,0.7323100526944066
XGBoost,0.666357429122755,0.6629563668744435,0.6629563668744434,0.6544956640803287,0.3263043127089717,0.6490663048335383,0.7139813259036589
MLP Classifier,0.5895428232150809,0.5909765509053132,0.5909765509053132,0.5012667390517553,0.1950092697825707,0.588322253160389,0.6306866043574184
